MMS Id,Begin Publication Date,ISBN Valid,Library Code,Location Code
99113484883506421,2019,1785339591; 9781785339592,firestone,stacks
99113485583506421,2019,0190918357; 9780190918354,firestone,stacks
99113485603506421,2019,0674980557; 9780674980556,firestone,stacks
99113485693506421,2019,1789201918; 9781789201918,firestone,stacks
99113485723506421,2019,1786435055; 9781786435057; 1800375247; 9781800375246,firestone,stacks
99113486263506421,2019,0262039702; 9780262039703,firestone,stacks
99113486313506421,2019,0300197888; 9780300197884,firestone,stacks
99113487023506421,2019,1250159059; 9781250159052; 9781250231277; 1250231272,firestone,stacks
99113487073506421,2019,1524747947; 9781524747947,firestone,stacks
99113487193506421,2019,0262038153; 9780262038157,firestone,stacks
99113561303506421,2002,9787534626562; 7534626560,rare,ctsn
99113561313506421,2006,9787534215438; 7534215439; 9787900342317; 7900342311,rare,ctsn
99113562813506421,2017,8493935522; 9788493935528; 8493673676; 9788493673673,marquand,pj
99113564053506421,2019,9791021027275,marquand,pj
99113564073506421,2019,2252041528; 9782252041529,marquand,pj
99113564753506421,2019,3862067459; 9783862067459,marquand,stacks
99113578393506421,2019,2226440542; 9782226440549,firestone,stacks
99113579733506421,2018,8894890767; 9788894890761,firestone,stacks
99113579793506421,2018,8869761061; 9788869761065,firestone,stacks
99113581123506421,2018,3954903601; 9783954903603; 3954904144; 9783954904143; 395490442X; 9783954904426; 3954904438; 9783954904433; 3054904431; 9783054904432; 9783054904433,recap,pa
99113582283506421,2019,3830938608; 9783830938606,firestone,stacks
99113583023506421,2019,8420437484; 9788420437484,firestone,sps
99113586093506421,2006,9783900508463; 3900508461,firestone,stacks
99113599903506421,2019,2021401243; 9782021401240,firestone,stacks
99113599923506421,2019,2707198943; 9782707198945,firestone,stacks
99113599933506421,2019,2379330123; 9782379330124,firestone,stacks
99113600353506421,2019,2271115272; 9782271115270,firestone,stacks
99113600373506421,2019,2406079473; 9782406079477,firestone,stacks
99113631143506421,2019,0691191182; 9780691191188,marquand,pj
99113636573506421,2019,019881206X; 9780198812067,firestone,stacks
99113636803506421,2019,0804798257; 9780804798259; 1503613577; 9781503613577,firestone,stacks
99113636813506421,2019,0815354622; 9780815354628; 0367671484; 9780367671488,firestone,stacks
99113637203506421,2019,0815636326; 9780815636328; 0815636504; 9780815636502,firestone,stacks
99113637213506421,2019,0253040663; 9780253040664; 0253040655; 9780253040657,firestone,clas
99113637433506421,2019,9781487502638; 148750263X,mendel,stacks
99113637473506421,2019,0190906774; 9780190906771,firestone,stacks
99113637673506421,2019,144225775X; 9781442257757; 1442257733; 9781442257733,firestone,stacks
99113638633506421,2019,1108469116; 9781108469111,firestone,stacks
