S,fkBarcodes,Size,CollDes,CollSeq,Format,Stamp,User,OK,OKText,SOrder,CollectionCode,Location,AtType,Output,OutputStamp
7374,8450,B,0,0,None,7/29/15,msiravo,TRUE,,1,Pams / NR / Chinese,ctsn,,TRUE,
7375,8451,B,0,0,None,7/29/15,msiravo,TRUE,,2,Pams / NR / Chinese,ctsn,,TRUE,
